Date,CO (ppm),NO2 (ppb),O3 (ppm),PM2.5 (ug/m3 LC),SO2 (ppb)
2021-08-28,0.4,14.0,0.07,7.6,0.0
2021-08-29,0.3,12.0,0.07,5.0,0.0
2021-08-30,0.4,17.0,0.07,5.0,0.0
2021-08-31,0.4,18.0,0.05,5.3,1.0
2021-09-01,0.4,16.0,0.05,4.3,0.0
2021-09-02,0.5,26.0,0.05,5.0,0.0
2021-09-03,0.5,41.0,0.08,8.3,1.0
2021-09-04,0.7,41.0,0.08,8.1,1.0
2021-09-05,0.8,37.0,0.07,8.3,1.0
2021-09-06,0.4,29.0,0.06,6.1,0.0
2021-09-07,0.5,40.0,0.06,5.7,1.0
2021-09-08,0.6,27.0,0.06,9.7,0.0
2021-09-09,0.6,42.0,0.06,10.1,1.0
2021-09-10,0.5,26.0,0.06,9.6,1.0
2021-09-11,0.7,37.0,0.06,6.9,1.0
2021-09-12,0.9,44.0,0.06,7.8,1.0
2021-09-13,0.6,39.0,0.06,9.3,1.0
2021-09-14,0.7,32.0,0.07,10.6,1.0
2021-09-15,0.6,39.0,0.06,11.7,1.0
2021-09-16,0.6,37.0,0.06,9.4,1.0
2021-09-17,0.7,36.0,0.06,8.0,1.0
2021-09-18,0.6,22.0,0.05,6.5,1.0
2021-09-19,0.5,31.0,0.04,5.83,1.0
2021-09-20,0.7,43.0,0.05,5.17,1.0
2021-09-21,0.8,41.0,0.06,4.5,2.0
2021-09-22,0.8,47.0,0.06,7.2,2.0
2021-09-23,0.7,33.0,0.05,6.1,1.0
2021-09-24,0.4,19.0,0.05,4.1,0.0
2021-09-25,0.4,24.0,0.06,4.3,0.0
2021-09-26,0.4,18.0,0.04,3.1,0.0
2021-09-27,0.5,27.0,0.04,5.5,1.0
2021-09-28,0.5,17.0,0.03,3.7,1.0
2021-09-29,0.5,20.0,0.04,4.2,0.0
2021-09-30,0.5,21.0,0.06,5.2,1.0
2021-10-01,0.8,46.0,0.06,5.5,1.0
2021-10-02,1.0,46.0,0.06,7.5,1.0
2021-10-03,1.0,42.0,0.06,9.4,2.0
2021-10-04,0.9,33.0,0.06,6.1,1.0
2021-10-05,0.4,25.0,0.04,4.9,1.0
2021-10-06,0.7,39.0,0.04,5.3,1.0
2021-10-07,0.8,37.0,0.04,5.7,1.0
2021-10-08,1.0,33.0,0.04,4.7,1.0
2021-10-09,0.4,14.0,0.04,3.6,0.0
2021-10-10,0.7,46.0,0.05,5.6,2.0
2021-10-11,0.7,21.0,0.05,11.4,1.0
2021-10-12,0.6,31.0,0.04,17.5,1.0
2021-10-13,0.8,39.0,0.04,7.5,2.0
2021-10-14,1.0,47.0,0.04,10.8,1.0
2021-10-15,1.1,35.0,0.04,9.0,2.0
2021-10-16,1.0,33.0,0.05,9.6,1.0
2021-10-17,0.8,36.0,0.05,7.7,2.0
2021-10-18,0.6,34.0,0.04,6.4,0.0
2021-10-19,0.6,34.0,0.05,10.3,1.0
2021-10-20,0.9,49.0,0.04,10.2,3.0
2021-10-21,1.2,44.0,0.04,8.8,2.0
2021-10-22,1.0,45.0,0.04,8.9,2.0
2021-10-23,1.2,41.0,0.04,10.4,7.0
2021-10-24,0.9,38.0,0.04,7.4,9.0
2021-10-25,1.0,30.0,0.04,6.5,1.0
2021-10-26,0.2,22.0,0.04,3.2,0.0
2021-10-27,0.9,42.0,0.04,6.1,3.0
2021-10-28,1.1,54.0,0.04,9.5,2.0
2021-10-29,1.4,50.0,0.04,7.2,2.0
2021-10-30,1.6,47.0,0.05,12.1,2.0
2021-10-31,1.4,41.0,0.04,11.3,2.0
2021-11-01,1.1,41.0,0.03,8.1,1.0
2021-11-02,1.2,43.0,0.03,10.3,2.0
2021-11-03,1.2,46.0,0.04,9.6,1.0
2021-11-04,1.0,58.0,0.04,11.6,2.0
2021-11-05,1.5,60.0,0.04,11.6,2.0
2021-11-06,1.5,55.0,0.05,18.1,2.0
2021-11-07,1.6,50.0,0.04,14.0,1.0
2021-11-08,1.4,44.0,0.03,11.2,2.0
2021-11-09,1.2,38.0,0.02,11.6,1.0
2021-11-10,1.0,39.0,0.04,13.3,2.0
2021-11-11,1.0,48.0,0.04,11.1,2.0
2021-11-12,1.3,55.0,0.04,13.8,4.0
2021-11-13,1.6,53.0,0.04,15.9,5.0
2021-11-14,2.0,40.0,0.03,15.8,2.0
2021-11-15,1.6,53.0,0.03,12.2,3.0
2021-11-16,1.6,52.0,0.03,16.6,2.0
2021-11-17,1.6,53.0,0.04,17.3,2.0
2021-11-18,1.4,40.0,0.04,14.0,1.0
2021-11-19,1.2,53.0,0.04,12.1,2.0
2021-11-20,1.6,54.0,0.04,19.9,2.0
2021-11-21,1.7,45.0,0.04,16.9,2.0
2021-11-22,1.1,39.0,0.04,12.2,3.0
2021-11-23,0.7,39.0,0.02,10.8,2.0
2021-11-24,0.9,46.0,0.03,16.1,2.0
2021-11-25,0.9,28.0,0.04,9.9,1.0
2021-11-26,0.7,41.0,0.04,14.1,1.0
2021-11-27,1.2,45.0,0.03,22.2,2.0
2021-11-28,1.3,48.0,0.03,19.7,3.0
