Date,CO (ppm),NO2 (ppb),O3 (ppm),PM2.5 (ug/m3 LC),SO2 (ppb)
2021-09-28,0.3,30.1,0.03,5.2,0.4
2021-09-29,0.6,29.3,0.02,7.7,0.8
2021-09-30,0.5,33.2,0.03,7.7,0.5
2021-10-01,0.4,22.8,0.03,6.5,0.4
2021-10-02,0.5,31.6,0.02,10.2,0.9
2021-10-03,0.4,24.8,0.02,5.6,0.5
2021-10-04,0.6,38.3,0.02,7.3,0.7
2021-10-05,0.6,29.3,0.02,6.8,0.6
2021-10-06,0.4,28.3,0.02,3.7,0.5
2021-10-07,0.5,23.3,0.02,5.3,0.4
2021-10-08,0.8,48.6,0.01,12.4,1.8
2021-10-09,0.7,18.0,0.03,7.0,0.5
2021-10-10,0.3,27.2,0.03,5.1,0.3
2021-10-11,0.6,38.0,0.02,6.5,0.5
2021-10-12,0.5,22.9,0.02,7.0,0.8
2021-10-13,0.6,29.6,0.02,9.5,1.0
2021-10-14,0.5,22.1,0.03,4.0,0.5
2021-10-15,0.5,27.8,0.03,7.2,0.6
2021-10-16,0.5,16.7,0.04,5.4,0.6
2021-10-17,0.5,28.2,0.03,5.0,0.7
2021-10-18,0.5,31.3,0.02,3.9,0.5
2021-10-19,0.6,29.7,0.02,9.9,1.3
2021-10-20,0.5,29.65,0.03,7.7,0.8
2021-10-21,0.5,29.6,0.04,4.2,0.4
2021-10-22,0.5,30.1,0.02,7.1,0.5
2021-10-23,0.4,16.6,0.02,6.0,0.5
2021-10-24,0.3,12.2,0.03,2.5,0.6
2021-10-25,0.3,15.1,0.03,3.4,0.5
2021-10-26,0.3,20.2,0.04,4.3,0.5
2021-10-27,0.4,27.1,0.03,7.0,0.4
2021-10-28,0.4,20.4,0.02,2.7,0.4
2021-10-29,0.3,21.2,0.02,3.5,0.3
2021-10-30,0.3,21.4,0.03,5.2,0.4
2021-10-31,0.7,28.6,0.02,12.8,0.6
2021-11-01,1.0,40.0,0.01,14.0,2.2
2021-11-02,0.8,27.1,0.02,8.9,2.4
2021-11-03,0.6,32.3,0.02,10.8,2.5
2021-11-04,0.4,27.4,0.04,4.7,1.3
2021-11-05,0.4,26.8,0.03,8.0,0.1
2021-11-06,0.4,15.5,0.03,2.7,0.1
2021-11-07,0.3,16.4,0.03,2.3,0.0
2021-11-08,0.4,26.6,0.04,4.1,1.0
2021-11-09,0.3,19.9,0.03,5.8,0.2
2021-11-10,0.7,26.6,0.02,8.7,0.3
2021-11-11,0.5,20.4,0.02,2.3,0.0
2021-11-12,0.5,27.5,0.02,5.3,0.1
2021-11-13,0.5,25.6,0.02,9.7,0.1
2021-11-14,0.2,8.1,0.02,0.5,0.0
2021-11-15,0.3,17.1,0.03,2.6,0.3
2021-11-16,0.4,29.7,0.03,5.6,0.1
2021-11-17,1.0,33.0,0.02,9.0,1.0
2021-11-18,1.0,36.3,0.02,8.1,1.3
2021-11-19,0.4,21.8,0.02,4.9,0.0
2021-11-20,0.5,27.4,0.02,10.6,0.2
2021-11-21,0.8,23.5,0.01,15.4,1.3
2021-11-22,0.9,27.9,0.02,13.5,0.9
2021-11-23,0.5,27.4,0.02,5.9,0.1
2021-11-24,0.7,36.7,0.01,7.8,0.7
2021-11-25,0.7,21.1,0.02,8.6,0.3
2021-11-26,0.4,26.9,0.02,4.5,0.1
2021-11-27,0.5,17.9,0.03,5.2,0.2
2021-11-28,0.3,16.5,0.03,2.1,0.1
2021-11-29,0.5,30.8,0.03,4.3,0.4
2021-11-30,0.4,27.8,0.03,3.1,0.1
2021-12-01,0.3,18.2,0.04,2.9,0.3
2021-12-02,0.3,15.0,0.03,4.2,0.0
2021-12-03,0.3,16.9,0.02,7.5,0.1
2021-12-04,0.4,21.4,0.02,8.7,0.1
2021-12-05,0.5,23.4,0.02,8.3,0.0
2021-12-06,0.4,24.7,0.03,6.2,0.2
2021-12-07,0.5,26.9,0.03,4.3,1.2
2021-12-08,0.5,24.7,0.03,3.5,0.3
2021-12-09,0.6,31.3,0.02,6.6,0.3
2021-12-10,0.5,31.1,0.03,3.8,0.2
2021-12-11,0.3,13.3,0.03,2.2,0.2
2021-12-12,0.4,19.2,0.03,3.0,0.5
2021-12-13,0.7,42.3,0.03,6.8,0.8
2021-12-14,0.5,33.9,0.02,4.0,0.3
2021-12-15,0.4,27.6,0.03,3.7,0.2
2021-12-16,0.6,30.6,0.02,6.1,0.5
2021-12-17,0.7,22.3,0.02,10.2,0.4
2021-12-18,0.3,28.1,0.03,4.5,0.6
2021-12-19,0.4,24.8,0.03,7.0,0.2
2021-12-20,0.3,23.9,0.02,4.9,0.27
2021-12-21,0.6,22.2,0.02,6.8,0.33
2021-12-22,0.5,30.9,0.03,5.5,0.4
2021-12-23,0.3,26.7,0.03,2.5,0.4
2021-12-24,0.4,15.8,0.03,3.0,0.4
2021-12-25,0.3,9.5,0.03,4.4,0.3
2021-12-26,0.3,7.4,0.03,4.9,0.6
2021-12-27,0.3,22.1,0.03,6.8,0.4
2021-12-28,0.3,16.3,0.03,5.5,0.2
2021-12-29,0.3,20.0,0.03,6.1,0.3
2021-12-30,0.3,22.2,0.03,5.3,0.3
2021-12-31,0.4,30.3,0.03,10.7,0.2
2022-01-01,0.4,23.9,0.02,12.1,0.2
2022-01-02,0.5,32.5,0.03,7.7,0.3
2022-01-03,0.3,28.9,0.03,5.5,0.3
2022-01-04,0.4,30.6,0.02,6.7,0.3
2022-01-05,0.3,23.3,0.02,4.0,0.1
2022-01-06,0.3,27.6,0.03,8.8,0.4
2022-01-07,0.4,31.5,0.03,6.9,0.4
2022-01-08,0.4,24.0,0.03,7.6,0.1
2022-01-09,1.1,33.3,0.01,16.2,1.5
2022-01-10,1.0,37.6,0.02,19.2,1.9
2022-01-11,0.5,39.5,0.02,7.3,0.6
2022-01-12,0.8,35.0,0.01,9.7,0.5
2022-01-13,0.7,31.8,0.01,10.5,0.7
2022-01-14,0.9,27.3,0.0,13.7,2.3
2022-01-15,0.9,22.4,0.0,15.2,1.4
2022-01-16,0.5,18.2,0.0,11.2,0.7
2022-01-17,0.7,23.5,0.02,11.3,1.0
2022-01-18,0.6,28.7,0.02,7.7,0.3
2022-01-19,0.6,29.7,0.01,8.5,0.9
2022-01-20,0.6,22.9,0.03,4.9,0.2
2022-01-21,0.6,33.6,0.02,8.3,1.0
2022-01-22,0.4,16.7,0.01,7.8,0.2
2022-01-23,0.4,14.0,0.0,9.9,0.2
2022-01-24,0.3,15.4,0.0,11.0,0.2
2022-01-25,0.5,19.4,0.01,11.0,0.5
2022-01-26,0.3,18.8,0.01,11.6,0.3
2022-01-27,0.32,32.0,0.0,16.3,1.6
2022-01-28,0.35,31.5,0.02,21.1,2.3
2022-01-29,0.38,30.5,0.02,13.0,1.0
2022-01-30,0.4,24.4,0.04,10.7,0.6
2022-01-31,0.5,29.8,0.03,6.3,0.5
2022-02-01,0.5,32.0,0.02,6.1,0.4
2022-02-02,0.4,23.6,0.02,7.3,1.0
2022-02-03,0.6,28.4,0.02,5.5,0.4
2022-02-04,0.5,24.5,0.03,5.9,0.5
2022-02-05,0.4,24.7,0.02,3.6,0.2
2022-02-06,0.9,28.4,0.01,10.8,4.1
2022-02-07,0.9,30.5,0.03,9.0,0.6
2022-02-08,0.6,34.6,0.02,6.8,0.4
2022-02-09,0.7,38.6,0.01,11.9,1.8
2022-02-10,0.7,19.7,0.02,6.0,0.2
2022-02-11,0.3,17.2,0.01,6.2,0.3
2022-02-12,0.5,24.0,0.02,6.0,0.5
2022-02-13,0.8,35.2,0.03,17.9,1.5
2022-02-14,0.6,31.9,0.02,6.2,0.4
