Date,CO (ppm),NO2 (ppb),O3 (ppm),PM2.5 (ug/m3 LC),SO2 (ppb)
2022-05-12,0.5,42.0,0.06,6.7,0.4
2022-05-13,0.6,45.2,0.06,9.5,0.6
2022-05-14,0.8,51.2,0.09,11.6,1.5
2022-05-15,0.8,45.1,0.06,16.5,1.7
2022-05-16,0.3,19.3,0.05,13.7,0.5
2022-05-17,0.3,23.2,0.04,12.7,0.5
2022-05-18,0.3,23.1,0.05,15.7,0.2
2022-05-19,0.3,23.3,0.04,17.0,0.3
2022-05-20,0.2,14.7,0.04,5.6,0.1
2022-05-21,0.2,11.3,0.04,6.3,0.2
2022-05-22,0.4,22.0,0.05,11.9,0.5
2022-05-23,0.3,21.4,0.05,16.5,0.3
2022-05-24,0.4,23.1,0.06,17.9,0.1
2022-05-25,0.5,29.1,0.06,19.5,0.7
