Date,CO (ppm),NO2 (ppb),O3 (ppm),PM2.5 (ug/m3 LC),SO2 (ppb)
2022-01-06,0.7,48.0,0.02,13.6,1.9
2022-01-07,2.1,58.0,0.04,17.2,4.0
2022-01-08,2.0,46.5,0.04,6.4,2.6
2022-01-09,0.6,40.4,0.04,10.7,1.8
2022-01-10,1.4,51.6,0.04,11.2,3.7
2022-01-11,1.2,47.5,0.04,7.0,1.2
2022-01-12,0.9,46.5,0.04,7.8,1.5
2022-01-13,1.0,53.3,0.04,11.7,2.6
2022-01-14,0.9,44.5,0.03,6.1,1.8
2022-01-15,0.6,33.8,0.04,5.7,0.6
2022-01-16,0.6,46.5,0.04,4.0,1.8
2022-01-17,0.9,47.4,0.04,11.5,3.5
2022-01-18,0.9,46.1,0.03,6.9,1.5
2022-01-19,0.6,40.8,0.02,8.3,1.4
2022-01-20,0.5,28.2,0.03,21.9,1.2
2022-01-21,0.7,34.9,0.02,21.4,1.7
2022-01-22,0.6,44.3,0.03,12.5,1.9
2022-01-23,0.6,47.1,0.04,6.3,2.0
2022-01-24,0.6,33.7,0.04,3.9,0.9
2022-01-25,0.4,30.2,0.04,5.3,0.9
2022-01-26,1.0,58.1,0.04,14.3,3.0
2022-01-27,0.6,47.2,0.04,6.2,0.6
2022-01-28,0.4,35.7,0.04,3.6,0.8
2022-01-29,0.6,57.9,0.04,6.8,1.6
2022-01-30,0.7,45.43,0.04,10.6,1.9
2022-01-31,0.6,32.97,0.04,4.9,0.9
2022-02-01,0.3,20.5,0.04,4.0,0.2
2022-02-02,0.3,38.5,0.03,4.1,-0.1
2022-02-03,0.8,70.0,0.04,17.5,1.8
2022-02-04,0.7,57.7,0.04,5.3,1.2
2022-02-05,0.6,36.4,0.05,4.0,0.7
2022-02-06,0.4,36.9,0.04,3.2,0.4
2022-02-07,0.6,46.0,0.04,4.8,0.7
2022-02-08,0.5,45.8,0.05,6.4,0.4
2022-02-09,0.5,40.4,0.04,5.5,0.7
2022-02-10,0.3,28.8,0.04,3.9,0.5
2022-02-11,0.4,24.2,0.04,3.3,0.3
2022-02-12,0.7,63.1,0.05,6.4,1.5
2022-02-13,0.6,29.3,0.05,3.1,0.2
2022-02-14,0.7,50.0,0.05,10.2,1.8
2022-02-15,0.8,55.8,0.04,13.0,1.8
2022-02-16,0.8,29.7,0.03,7.9,0.9
2022-02-17,0.4,36.1,0.04,8.4,0.1
2022-02-18,0.5,40.4,0.04,7.6,1.1
2022-02-19,0.5,33.9,0.05,4.6,0.3
2022-02-20,0.5,45.7,0.05,5.0,0.6
2022-02-21,0.5,20.9,0.03,6.3,0.1
2022-02-22,0.3,13.7,0.03,7.9,0.0
2022-02-23,0.4,27.3,0.03,8.3,0.2
2022-02-24,0.5,51.8,0.04,12.6,0.8
2022-02-25,0.6,54.4,0.04,26.0,4.0
2022-02-26,0.6,56.8,0.05,23.9,2.1
2022-02-27,0.7,54.4,0.05,10.5,2.4
2022-02-28,0.7,34.3,0.05,6.4,0.3
2022-03-01,0.5,36.2,0.04,5.1,2.0
2022-03-02,0.6,47.1,0.04,11.0,0.8
2022-03-03,0.5,27.9,0.04,11.3,0.3
2022-03-04,0.4,34.8,0.05,10.5,0.9
2022-03-05,0.3,11.7,0.04,10.7,0.3
2022-03-06,0.3,12.2,0.04,6.7,-0.1
2022-03-07,0.4,24.9,0.04,11.5,0.1
2022-03-08,0.5,22.65,0.05,10.5,0.6
2022-03-09,0.3,20.4,0.03,4.5,0.6
2022-03-10,0.4,45.7,0.03,12.7,0.5
2022-03-11,0.5,45.2,0.05,12.0,0.2
2022-03-12,0.4,46.7,0.04,5.7,0.4
2022-03-13,0.4,45.4,0.04,3.6,1.8
2022-03-14,0.3,35.2,0.05,5.4,0.4
2022-03-15,0.4,27.4,0.05,5.3,0.5
2022-03-16,0.4,37.8,0.04,5.8,0.8
2022-03-17,0.3,33.5,0.04,4.3,0.3
2022-03-18,0.3,23.8,0.05,5.2,0.6
2022-03-19,0.3,15.1,0.06,4.9,0.1
2022-03-20,0.4,32.8,0.05,5.5,0.3
2022-03-21,0.3,20.7,0.04,5.6,0.1
2022-03-22,0.3,25.3,0.04,3.3,0.2
2022-03-23,0.4,41.5,0.05,4.6,0.5
2022-03-24,0.4,38.5,0.04,4.0,1.3
